Hello
Episode,Aang,Sokka,Katara,Zuko,Toph,Iroh,Azula,Jet,Suki,Zhao,Mai,Hakoda
1,416,377,538,158,0,140,0,0,0,0,0,0
2,294,243,307,118,0,28,0,0,0,0,0,0
3,459,260,336,240,0,136,0,0,0,361,0,0
4,438,447,344,126,0,55,0,0,305,0,0,0
5,530,107,175,0,0,0,0,0,0,0,0,0
6,158,413,675,0,0,0,0,0,0,0,0,0
7,599,177,260,121,0,176,0,0,0,0,0,0
8,387,168,170,136,0,124,0,0,0,153,0,0
9,352,430,589,226,0,221,0,0,0,0,0,0
10,241,527,422,0,0,0,0,857,0,0,0,0
11,771,247,244,0,0,0,0,0,0,0,0,0
12,430,144,292,92,0,351,0,0,0,0,0,0
13,342,57,113,64,0,79,0,0,0,334,0,0
14,604,628,400,0,0,0,0,0,0,0,0,0
15,248,383,171,138,0,60,0,0,0,0,0,42
16,539,292,177,0,0,0,0,0,0,169,0,0
17,412,329,200,0,0,0,0,0,0,0,0,0
18,160,323,382,40,0,188,0,0,0,223,0,0
19,155,271,126,103,0,138,0,0,0,111,0,0
20,253,118,68,115,0,118,0,0,0,268,0,0
21,322,111,215,140,0,157,372,0,0,0,0,0
22,269,310,400,118,0,169,0,0,0,0,0,0
23,316,129,107,0,0,0,355,0,0,0,100,0
24,279,493,126,17,0,71,0,0,0,0,0,0
25,245,429,283,61,0,140,0,0,0,0,0,0
26,336,189,223,0,381,0,0,0,0,0,0,0
27,0,0,0,180,0,34,0,0,0,0,0,0
28,304,302,434,18,414,150,120,0,0,0,33,0
29,442,377,217,229,434,639,0,0,0,0,0,0
30,258,689,189,0,211,0,0,0,0,0,0,0
31,163,249,517,107,204,207,0,0,0,0,0,0
32,328,453,260,40,149,86,0,149,322,0,0,0
33,244,397,196,39,100,60,33,131,0,0,27,0
34,187,386,231,48,195,145,0,253,0,0,0,0
35,50,95,108,153,134,204,0,0,0,0,0,0
36,14,0,0,11,12,7,56,0,147,0,15,0
37,257,230,222,109,122,290,0,217,0,0,0,0
38,291,556,269,14,142,123,7,0,0,0,0,0
39,251,76,80,76,60,99,178,0,0,0,59,140
40,170,150,201,133,94,295,411,0,0,0,22,0
41,344,261,360,100,68,0,172,0,0,0,20,162
42,619,228,106,249,108,0,68,0,0,0,13,0
43,314,598,419,0,105,0,0,0,0,0,0,0
44,192,461,214,0,112,0,0,0,0,0,0,0
45,20,16,22,408,55,0,538,0,0,0,258,0
46,168,23,38,120,33,119,103,0,0,0,0,0
47,164,568,626,0,733,0,0,0,0,0,0,0
48,165,340,557,0,108,0,0,0,0,0,0,0
49,746,256,263,173,78,0,68,0,0,0,126,0
50,209,388,145,17,74,66,0,0,0,0,0,358
51,216,417,94,337,170,0,198,0,0,0,0,175
52,322,436,478,766,310,82,0,0,0,0,0,0
53,617,97,45,919,120,0,0,0,0,0,0,0
54,20,789,51,711,20,0,0,0,97,0,0,0
55,6,497,26,156,15,0,82,0,95,0,124,159
56,276,262,431,514,20,0,15,0,18,0,0,7
57,158,344,196,211,224,0,0,0,104,0,0,0
58,342,371,207,554,228,0,102,0,38,0,0,0
59,389,96,70,329,65,295,0,0,29,0,0,0
60,28,153,56,84,77,13,402,0,40,0,0,0
61,92,180,24,193,60,11,25,0,36,0,46,21
