ep_num,ep_name,total,Aang,Sokka,Katara,Zuko,Toph,Iroh,Azula,Jet,Suki,Zhao,Mai,Hakoda,Roku,Ty Lee,Ozai,Bumi,Yue,Warden,Hama,Long Feng,Piandao,Mechanist,Kuei,Pathik,Bato,Pakku,Teo,Young Zuko,Chong,Jeong Jeong,Guard,Haru,Joo Dee,Zhang leader,Wu,June,Zei,Xin Fu,Chit Sang,Sozin,Shyu,Smellerbee,Ursa,Gan Jin leader,Fong,Young Azula,Gyatso,Yu,Actress Aang,Sun Warrior chief,Arnook,Wan Shi Tong,Captain,Meng,Lee,Tong,Oyaji,Canyon guide,Jin,Fisherman,Yon Rha,Actress Katara,Actor Sokka,Li,Tyro,Tho,King Bumi,Due,Bully guard,Male guard,Chey,Pirate captain,Actor Zuko,Lao,Herbalist,Dock,Chan,Huu,Ghashiun,Soldier,Ticket lady,Lo,Calm man,Female guard,Kay-fon,Ying,Song,Senlin Village leader,Kanna,Actress Azula,Headmaster,Gan Jin tribesman,Qin,Great Fire Sage,Earthbender captain,Oh,Yung,Hahn,Koh,The Boulder,Xu,General Sung,Dai Li agent,Gow,The Duke,Jee,Fisherman's wife,Haru's mother,Pipsqueak,Mother Superior,Gansu,Yagoda,Kenji,Old man,Shuzumu,Kwan,Man,Fung,General How,Male student,Than,Pao,Lo and Li,Fire Sage,Villager,Koko,Trainer,Shinu,Warden Poon,Tashi,Cabbage merchant,Servant,Kya,Kyoshi,Young Katara,Mongke,Storyteller,Shoji,Sela,Ukano,Tycho,Dealer,Ruon-Jian,Quon,Male student #2,Hide,Little boy,Ming,On Ji,Air Nomad boy #1,Gate guard,Engineer,Mung,Lin Yee,Actor Iroh,Lily,Moku,Malu,Banished servant,Actor Ozai,Michi,Head of Dai Li,Customer,Music teacher,Pong,Momo,Ham Ghao,Fire Nation soldier,Earth Kingdom soldier,Fat,Macmu-Ling,Servant #1,Town authority,Fire Navy officer,Li and Lo,Merchant #1,Merchant #2,Fire Nation man,Old Sweepy,Blue dragon,Ember Island teenager #1,Yangchen,Poppy,Lion turtle,Air Nomad boy #2,Southern Raiders commander,Merchant,Broadsword man,Scary prisoner,Male student #1,Gondola guard,Woman,University student,Unnamed Fire Nation boy,Villager #3,Ladies,Ticket woman,Guard one,Firebender,Appa,Villager #2,Avatar Roku,Florist,Village girl,Tax collector,Shop owner,Tough prisoner,Door guard,Male Fire Nation soldier,Yon Rha's mother,Pasang,Ember Island teenager #2,Ding,Azulon,Male guard #2,Southern Water Tribe boy,Actor Toph,Female Fire Nation soldier,Male prisoner #1,Baboon spirit,Merchant woman,Male soldier,Guard captain,Ember Island teenager #3,Village boy,Huge round angry face,Kyoshi Warrior #1,Messenger,Head of the Dai Li,Bujing,Brainwasher,Joo Dees,Captured agent,Fire Nation watchman #1,Crew member,Guest,Female prisoner,Qin Lee,Store owner,Actor Jet,Bodyguard #2,Young Ty Lee,Aang and Sokka,Old Fire Nation civilian,Oracle,Officer,Sha-Mo,Fire Nation Man,Chamberlain,Sensitive ruffian,Little girl,Commander,Class,Song's mother,Girl with umbrella,Joo Dee replacement,Fire Nation Soldier,Servant #2,Village Woman,Dock/Xu,Pet store owner,Pirate,Koala sheep,Team Avatar,Farmer,Toph and Sokka,Villager #4,Villager #1,Painted Lady,Weapons store shopkeeper,Southern Water Tribe girl,Fire Nation watchman #2,Little Girl,Actor Bumi,Blue Spirit,Gondola guard #4,Gondola guard #3,Gondola guard #2,Bogyguard #2,Bodyguard,Spectators,Actress Yue,Sun Warrior,Aang and Zuko,Fire Nation Captain,Big Bad Hippo,Village kids,Male prisoner #2,Painter,Fangirls,Ta Min,Young boy,Crowd,Kuruk,Mask dealer,Young guest,Student,Lieutenant Jee,Resistance fighter #1,Resistance fighter #2,Peasant girl,Princess Yue,Villagers,Prisoner #2,Flyer distribution man,The Hippo,Resistance fighter,Shopkeeper,Audience,Gyatso and Katara,Gan Jin man,Gan Jin Leader,Aang:,Young Mai,Elder soldier,Scout #1,Female Student #1,Both,Puppet Fire Lord,Fire Nation kids,Citizen,Aunt Wu,Tribal man,Colonists,Firebenders,Ping,Guard two,Girl,Poi,Man with Red Shoes,Poi and Ping,Strange Man,Scribe,Scout #2,Old woman,Lu Ten,Man in the bar,Red dragon,Waiter,Sandbender #1,Sandbender #2,Iio,Kyoshi Warrior #2,Longshot,Palace woman,Agent,White Lotus member,Water Tribe warrior,Warrior,Katara (flashback),Royal messenger,How,Male soldier #1,Female student #1,Prisoner,Lady on stage,Adult guest,Shop keeper,Sha-Mo:,Eye-patch soldier,Earthbender guard,Together,Terra Team leader,Terra Team member,Tea seller,Second Engineer,Train conductor,Older guest,Younger guest,Star,Third girl,Boy's mother,Guard #2,Katara and Sokka,ep_descrip
35,The Tales of Ba Sing Se,0.203670635,0.115242857,0.145155556,0.259330769,0.096244444,0.360863636,0.260128571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387152941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0819375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2263,0,0,0,0,0,0,0,0,0,0.11715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6705,0.4404,0.2263,0,0,"After deciding he would be better off on his own and leaving his uncle, Zuko continues his journey alone and ends up in an Earth Kingdom town, where a young boy named Lee brings him home for dinner and subsequently bonds with the banished prince. Zuko helps defend the family from rogue Earth Kingdom soldiers who terrorize the town and has flashbacks of his youth when his mother was still around. Zuko's identity as the banished Fire Nation Prince is revealed when he firebends, and the boy and his family reject him because of it."
5,The King of Omashu,0.158741722,0.164523214,0.207493333,0.133536842,0,0,0,0,0,0,0,0,0,0,0,0,0.197917778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sokka, Zuko, Suki, and Chit Sang devise a new plan for escaping the prison, involving Hakoda in their plans. They escape by creating a prison riot and kidnapping the warden. However, problems for the four arrive when Azula, Mai, and Ty Lee visit the prison. As the plan teeters on the verge of failure, Mai helps Zuko and the others escape. Azula attacks Mai for her betrayal, but Ty Lee intervenes. Azula has them both imprisoned. The group returns to the Western Air Temple, and Hakoda is reunited with Katara."
14,The Fortuneteller,0.142097571,0.151058904,0.048164407,0.119375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151864286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305033333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200190909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401,0,0,0,0,0,0.4926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The gang arrives at the Great Divide, the world's largest canyon. Two Earth Kingdom tribes bicker with each other about how to cross the canyon, having been enemies for a century. Aang helps them cross the canyon together and is able to end the feud by fabricating a story about their ancestors."
29,Bitter Work,0.132589286,0.013581818,0.053552632,0.083671429,0.2757,0.220165385,0.282357895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"After Aang receives a vision from his predecessor, Roku, and Zuko receives a letter from Iroh, they each learn about the relationship between Avatar Roku and Fire Lord Sozin; their childhood friendship, falling out, and Sozin's eventual betrayal of Roku to his death. Zuko discovers that Roku is his maternal great-grandfather. Iroh explains to Zuko that the legacy of the struggle between Roku and the latter's paternal great-grandfather, Sozin, lives on as the struggle between good and evil within Zuko himself."
61,"Sozin's Comet, Part 4: Avatar Aang",0.132048529,-0.277016667,0.203769231,0.21955,0.238854545,0.169544444,0,0.3083,0,-0.015375,0,0.27125,0.7717,0,0.66655,-0.032877778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aang prepares himself to fight Fire Lord Ozai, but has difficulty deciding how to defeat him without taking his life. His friends push him, urging him to kill the Fire Lord, but Aang insists it goes against his beliefs. In his sleep, Aang is drawn toward a mysterious island that appears suddenly in the sea. His friends find June, the bounty hunter, to attempt to locate him again. Fire Lord Ozai crowns himself Phoenix King and Aang awakens on the unknown island now in the middle of the sea."
58,"Sozin's Comet, Part 1: The Phoenix King",-0.007965341,-0.041306061,-0.124568966,0.046625,-0.007217949,0.062982609,0,0.026044444,0,0.36764,0,0,0,0,0,-0.007346154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ozai accidentally unlocks Aang's chakra, causing him to enter the Avatar State. The Order of the White Lotus successfully liberates Ba Sing Se, while Sokka and Toph manage to disable all of the airships. Katara defeats Azula and heals Zuko's injuries. Aang in the Avatar State easily overwhelms Ozai, yet still refuses to kill him. He uses an ancient form of bending, known as energybending, to strip Ozai of his firebending powers, keeping true to his beliefs and defeating the Phoenix King without taking his life. Newly appointed Fire Lord Zuko declares the War over, with Aang and his friends celebrating together. Aang and Katara share a romantic kiss on the balcony as the series draws to an end."
8,"Avatar Roku (Winter Solstice, Part 2)",-0.009619444,-0.002018182,0.122689474,-0.072195833,-0.024005882,0,-0.055325,0,0,0,-0.08925,0,0,0.106566667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023672,0,0,0,0,0,0,0,0,0,0,0,0.01346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39225,0,0,0,0,0,-0.04652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aang finally begins his earthbending training with Toph, but loses confidence in himself when he encounters difficulty with the earth element, the natural opposite of air. While Toph is teaching, Sokka becomes stuck in a hole and spends the whole day trapped. The group begins to get worried and searches for him. Aang is the one to find Sokka and is forced to save him from a saber-tooth moose lion. Toph uses the situation to prove that Aang has the attitude and mindset required to learn earthbending. Meanwhile, Iroh resumes his firebending instruction with Zuko, showing him how to re-direct lightning in an attempt to better equip him to fight Azula."
11,The Great Divide,-0.018108485,0.029868571,0.195792308,0.000236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111571429,0,0,0,0,0,0,0,0,0,-0.160277273,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aang, Katara, and Sokka travel to a village that relies solely on the predictions of a cloud-reading fortuneteller. Sokka is skeptical and tries to disprove all the predictions. Upon discovering a nearby volcano is about to erupt, Aang and Katara manipulate the clouds as a warning to the oblivious villagers. The group manages to evacuate the village before the volcano erupts."
55,"The Boiling Rock, Part 2",-0.021095263,0.0258,-0.041509302,-0.214666667,0.022990909,0.0882,0,-0.20852,0,0.076075,0,0.03218,0.001994444,0,-0.1691,0,0,0,0.012533333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048290909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.068,0.039028571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.091066667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,0.013833333,0,0,0,0,0,0,0.02145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6948,0.2263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The group arrives at the Earth Kingdom city of Omashu, where Aang shows Katara and Sokka the famous mail delivery system; Aang tells them that he and his friend Bumi rode the system for fun a hundred years previously. The trio gives the chutes a try, but they are soon discovered and arrested. Omashu's old king quickly discovers Aang is the Avatar and decides to put him through three deadly challenges to test his skills. After successfully completing his challenges, Aang discovers the king is his old friend Bumi, who reveals Aang's destiny: master the other three elements and defeat Fire Lord Ozai."
27,Zuko Alone,-0.041916667,0,0,0,-0.197861905,0,0.7959,0,0,0,0,0,0,0,0,0.26898,0,0,0,0,0,0,0,0,0,0,0,0,-0.134304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120682353,0,0,-0.107752381,0,0,0,0,0,0,0,0,0.031647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037244444,0,0,0,0,0,0,-0.04075,0,0,-0.166775,0,0,0,0,0,0,0,0,0,0.0197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132383333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.362766667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129,0,0,0.0539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A set of vignettes about each of the main characters' adventures in Ba Sing Se, providing a glimpse of their personalities and private lives. Katara and Toph have a girls' day out; Iroh helps people in town before celebrating the birthday of his dead son; Aang helps a zookeeper build a new zoo; Sokka accidentally ends up in a poetry club; Zuko goes out on a date; and Momo searches Ba Sing Se for Appa."
